,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
5461,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5462,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5463,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5464,15.0,3.948717948717949,1.0,0.4,10.01,0.0
5465,15.0,3.948717948717949,1.0,0.4,10.01,0.0
5466,15.0,3.948717948717949,1.0,0.4,10.01,0.0
5467,15.0,3.948717948717949,1.0,0.4,35.035,30.03
5468,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5469,15.0,3.948717948717949,1.0,0.4,10.01,0.0
5470,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5471,15.0,3.948717948717949,1.0,0.4,40.04,35.035
5472,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5473,15.0,3.948717948717949,1.0,0.4,45.045,35.035
5474,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5475,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5476,15.0,3.948717948717949,1.0,0.4,20.02,10.01
5477,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5478,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5479,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5480,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5481,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5482,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5483,15.0,3.948717948717949,1.0,0.4,20.02,15.015
5484,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5485,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5486,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5487,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5488,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5489,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5490,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5491,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5492,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5493,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5494,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5495,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5496,15.0,3.948717948717949,1.0,0.4,40.04,35.035
5497,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5498,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5499,15.0,3.948717948717949,1.0,0.4,15.015,5.005
9900,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9901,15.0,3.948717948717949,0.5,0.4,50.0501,30.03
9902,15.0,3.948717948717949,0.5,0.4,65.0651,40.04
