,Unnamed: 0,t,dominant_mode,dscore,amplitude,is_polarized_mode,is_polarized_dscore,pattern_group,alpha,L,beta_factor,rho0
142828,4,2.4242424242424243,0.5,0.9272167409929172,0.9726055439513606,True,True,1,20.0,3.1724137931034484,1.0,0.4
142861,4,2.4242424242424243,1.0,0.4820522778206125,0.95334959710309,False,True,2,20.0,3.1724137931034484,1.0,0.4
142894,4,2.4242424242424243,0.5,0.9187208188061672,0.9780142587953852,True,True,1,20.0,3.1724137931034484,1.0,0.4
142927,4,2.4242424242424243,1.25,0.5215218325678334,0.9669506857129332,False,True,3,20.0,3.1724137931034484,1.0,0.4
142960,4,2.4242424242424243,1.25,0.5067275199765661,0.968845548557738,False,True,3,20.0,3.1724137931034484,1.0,0.4
142993,4,2.4242424242424243,1.0,0.3296233781331077,0.9537827323541792,False,True,2,20.0,3.1724137931034484,1.0,0.4
143026,4,2.4242424242424243,1.0,0.5010658589895071,0.9478922253143626,False,True,2,20.0,3.1724137931034484,1.0,0.4
143059,4,2.4242424242424243,1.0,0.6338997172591008,0.9275798046239736,False,True,2,20.0,3.1724137931034484,1.0,0.4
143092,4,2.4242424242424243,1.0,0.2977266811893411,0.9540994915798882,False,False,2,20.0,3.1724137931034484,1.0,0.4
143125,4,2.4242424242424243,0.5,0.9053039520507824,0.962651517063372,True,True,1,20.0,3.1724137931034484,1.0,0.4
143158,4,2.4242424242424243,1.25,0.3062441903211697,0.9572141473140016,False,True,3,20.0,3.1724137931034484,1.0,0.4
143191,4,2.4242424242424243,0.5,0.6549508119770998,0.97247530796737,True,True,1,20.0,3.1724137931034484,1.0,0.4
143224,4,2.4242424242424243,1.0,0.572822372124221,0.9444291993326146,False,True,2,20.0,3.1724137931034484,1.0,0.4
143257,4,2.4242424242424243,1.0,0.5635943340493946,0.9506755419886976,False,True,2,20.0,3.1724137931034484,1.0,0.4
143290,4,2.4242424242424243,1.25,0.5905300782477182,0.9706335517002156,False,True,3,20.0,3.1724137931034484,1.0,0.4
143323,4,2.4242424242424243,1.25,0.2614695318531379,0.9551537542703116,False,False,3,20.0,3.1724137931034484,1.0,0.4
143356,4,2.4242424242424243,1.25,0.412232530483043,0.9641121898550372,False,True,3,20.0,3.1724137931034484,1.0,0.4
143389,4,2.4242424242424243,0.5,0.8402638065629012,0.9793957223021674,True,True,1,20.0,3.1724137931034484,1.0,0.4
143422,4,2.4242424242424243,0.5,0.8820159743273948,0.9780483188670344,True,True,1,20.0,3.1724137931034484,1.0,0.4
143455,4,2.4242424242424243,1.0,0.5243198929348077,0.951936474698338,False,True,2,20.0,3.1724137931034484,1.0,0.4
143488,4,2.4242424242424243,0.5,0.6630033964682778,0.9723284591764016,True,True,1,20.0,3.1724137931034484,1.0,0.4
143521,4,2.4242424242424243,1.0,0.0927769975764532,0.9511716450317896,False,False,2,20.0,3.1724137931034484,1.0,0.4
143554,4,2.4242424242424243,1.0,0.2988753944021231,0.9542404516074204,False,False,2,20.0,3.1724137931034484,1.0,0.4
143587,4,2.4242424242424243,1.0,0.5207609308112104,0.9526671952282052,False,True,2,20.0,3.1724137931034484,1.0,0.4
143620,4,2.4242424242424243,0.5,0.6429337752769151,0.9682346746213224,True,True,1,20.0,3.1724137931034484,1.0,0.4
143653,4,2.4242424242424243,0.5,0.9442189547963104,0.9470104947123816,True,True,1,20.0,3.1724137931034484,1.0,0.4
