,alpha,L,beta_factor,rho0,poltime_mode_mean,poltime_mode_std,poltime_mode_count,poltime_dscore_mean,poltime_dscore_std,poltime_dscore_count
121,20.0,2.7333333333333334,1.0,0.4,0.15015,0.8580902730288151,100,0.0,0.0,100
122,20.0,2.7333333333333334,1.2,0.4,6.65665,3.264217623634252,100,4.45445,3.47740280237996,100
123,20.0,2.7333333333333334,1.5,0.4,20.670650000000002,7.029893157477968,100,15.165149999999999,7.0943856538502015,100
124,20.0,2.935897435897436,0.5,0.4,18.018,7.1492777412982225,100,12.7127,7.1993596242999285,100
125,20.0,2.935897435897436,0.8,0.4,5.9559500000000005,3.313456775869508,100,3.4033999999999995,3.5483517926559154,100
126,20.0,2.935897435897436,1.0,0.4,0.7006999999999999,2.0145992433015336,100,0.4004,1.364662921343175,100
127,20.0,2.935897435897436,1.2,0.4,12.26225,5.341272801391902,100,8.75875,5.882340390713734,100
128,20.0,2.935897435897436,1.5,0.4,43.643632,15.796509883092611,100,34.634613,16.01286555190434,100
129,20.0,3.1384615384615384,0.5,0.4,30.380359,11.208597587603336,100,21.471452,11.521173765780517,100
130,20.0,3.1384615384615384,0.8,0.4,10.6106,5.336770496595608,100,6.5065,5.251697873598172,100
131,20.0,3.1384615384615384,1.0,0.4,2.4524500000000002,5.394069297231297,100,1.2512499999999998,4.520201031050622,100
132,20.0,3.1384615384615384,1.2,0.4,24.974953999999997,11.100612750321943,100,18.568552,11.027424999275327,100
133,20.0,3.1384615384615384,1.5,0.4,76.72674,27.238108927591018,100,60.76076200000001,27.191312593758155,100
134,20.0,3.341025641025641,0.5,0.4,50.600592,18.806516163441703,100,35.635619999999996,18.7712948544507,100
135,20.0,3.341025641025641,0.8,0.4,19.819801,8.622677050409317,100,13.3133,8.891392848017558,100
136,20.0,3.341025641025641,1.2,0.4,45.94594,19.199123341739153,100,34.934924,19.364465180945864,100
137,20.0,3.341025641025641,1.5,0.4,135.285284,45.724974776081375,100,106.906914,45.88000558023317,100
138,20.0,3.543589743589744,0.5,0.4,82.38239600000001,24.606136561714056,100,57.40741,24.913108756172292,100
139,20.0,3.543589743589744,0.8,0.4,32.232215000000004,16.55119226122259,100,21.371358,16.14152282399062,100
140,20.0,3.543589743589744,1.0,0.4,12.562558999999998,19.015231992529465,100,8.208206,16.797018163171195,100
141,20.0,3.543589743589744,1.2,0.4,87.437449,36.394980378919264,100,69.019018,36.44251656263124,100
142,20.0,3.543589743589744,1.5,0.4,240.690697,98.80020015803392,100,191.94194,98.43401174664059,100
143,20.0,3.746153846153846,0.5,0.4,128.728726,37.984517728351875,100,88.038045,37.88455703070583,100
144,20.0,3.746153846153846,0.8,0.4,48.898897,20.219434809066044,100,31.231217,20.557794557817367,100
145,20.0,3.746153846153846,1.0,0.4,21.321314,21.8640498047237,100,12.062057,17.61431791055194,100
146,20.0,3.746153846153846,1.5,0.4,457.657656,145.7502389233652,100,372.82282399999997,145.80261383222836,100
147,20.0,3.948717948717949,0.5,0.4,214.51452,60.680449501036804,100,148.598599,60.041917306509426,100
148,20.0,3.948717948717949,0.8,0.4,80.18019100000001,32.630424637817114,100,50.8008,32.65674611567473,100
149,20.0,3.948717948717949,1.0,0.4,42.242233999999996,51.79573045861463,100,25.475472,46.27853774830651,100
150,20.0,3.948717948717949,1.2,0.4,269.969973,120.98032215140755,100,217.267267,120.79670241503482,100
151,20.0,3.948717948717949,1.5,0.4,757.657665,236.7580363077765,100,612.5125069999999,236.76230702857788,100
152,20.0,4.151282051282051,0.5,0.4,362.162162,127.14325509223778,100,255.305307,126.85031758491499,100
153,20.0,4.151282051282051,0.8,0.4,139.189195,65.72744831105416,100,90.99098900000001,65.9529844478685,100
154,20.0,4.151282051282051,1.0,0.4,85.485483,90.19866826366562,100,52.80279899999999,83.23873361060265,100
155,20.0,4.151282051282051,1.2,0.4,434.834837,212.6543048187356,100,345.345345,213.08071407214175,100
156,20.0,4.151282051282051,1.5,0.4,1379.529534,508.0878333617185,100,1132.782778,507.78366267631407,100
157,20.0,4.3538461538461535,0.5,0.4,516.166167,189.80085527891785,100,345.49549,189.99512755869168,100
158,20.0,4.3538461538461535,1.0,0.4,95.295296,103.80773992855413,100,47.49749799999999,90.6989045003156,100
159,20.0,4.3538461538461535,1.2,0.4,816.1161169999999,371.19461104137105,100,666.166172,371.26051792314746,100
160,20.0,4.556410256410256,0.5,0.4,821.1711770000001,285.94065295383945,100,546.496497,284.9819617849815,100
161,20.0,4.556410256410256,0.8,0.4,346.546549,157.44525228756964,100,222.272271,156.59113106394474,100
162,20.0,4.556410256410256,1.0,0.4,239.039034,280.0681621384154,100,151.551552,257.2956686625592,100
163,20.0,4.556410256410256,1.2,0.4,1254.104106,602.0826799800591,100,1005.205208,601.9509065564101,100
164,20.0,4.758974358974359,0.5,0.4,1353.1031030000001,515.8363527404957,100,919.419425,516.0164107044683,100
165,20.0,4.758974358974359,1.0,0.4,367.717714,489.8914227886593,100,232.132129,458.3745876768179,100
166,20.0,4.961538461538462,0.8,0.4,793.5935959999999,348.5258270166771,100,481.731736,344.59783380176606,100
167,20.0,4.961538461538462,1.0,0.4,515.365365,516.6794105127891,100,287.68769100000003,454.305106024577,100
168,20.0,5.164102564102564,0.8,0.4,1214.914915,541.7612151995635,100,724.2242239999999,532.6403725760708,100
